mz_time	JDC_20160102_LU.CT22_001	JDC_20160102_LU.CT23_001	JDC_20160102_LU.CT24_001	JDC_20160102_LU.CT48_001	JDC_20160102_LU.CT50_001	JDC_20160102_LU.CTH26_001	JDC_20160102_LU.CTH28_001	JDC_20160102_LU.CTH46_001	JDC_20160102_LU.CTH47_001	JDC_20160102_LU.CTH49_001
151.9506688_240.816	1083386.472	1991941.713	4002924.52	3348366.527	3255341.475	3477457.709	744127.2894	1379226.422	1784860.403	1897737.789
152.0136513_172.757	45487013.25	11088079.25	4933891.132	39508855.43	39606025.24	19951341.11	19695004.08	27027086.12	35852442.81	42080213.95
152.0355432_306.114	4504670.99	10425170.33	27080496.92	9143501.058	9915569.336	9613548.098	4736052.424	9533907.508	10546506.65	6370591.109
152.038186_308.746	1595484.06	4127063.99	5445770.203	3585852.624	3937389.157	16476616.97	2420462.346	2592681.223	4279629.366	2267944.487
152.0537039_213.018	563463.8875	1062668.965	1764280.396	3034142.069	1713461.397	944870.7494	1273058.069	2226649.642	1987687.672	3736729.342
152.0563047_148.628	6233977.536	12860945.13	3914172.286	18438633.88	9679568.09	9880605.143	9282462.334	8167153.846	8364032.183	12822673.39
152.0702139_43.5807	76562.81938	322718.1368	2026956.117	1214077.475	247493.7018	1532655.562	533588.5294	3629846.801	5545214.299	366688.1007
152.0801026_258.1085	2008723.167	1771540.252	2631428.333	724697.9872	1395507.609	2851588.612	1312451.84	2769826.406	5313799.757	1724348.189
152.1065924_257.827	2951422.368	1902945.254	2929505.145	3485819.102	3414125.236	2463597.005	1064991.622	2541656.264	3887675.737	4110793.449
152.1066034_227.965	1920872.276	1789593.746	627433.6493	2306513.099	2191104.53	1326760.617	1543744.533	1567049.743	2716620.859	2305799.078
152.1429706_204.445	4869402.318	4929826.533	4914701.641	7010811.616	7178976.178	5386526.964	5086888.466	6282971.302	6739546.73	7190630.092
152.1429567_122.721	7589131.416	8308327.803	8727106.736	11816400.97	12185404.2	8676614.814	8378908.231	12201417.52	12964661.31	12598170.03
152.5153098_173.196	2198945.342	1007577.231	93361.02268	2130863.31	2715241.16	1406421.761	1566628.289	614648.493	2476145.754	1744477.546
152.5309895_111.9925	1705834.311	1029397.474	1072900.431	1847660.839	1806832.563	1458835.477	514760.4914	1926951.314	1823804.214	1362419.687
152.539887_347.9205	713135.7455	1583349.712	5476234.068	4695608.643	3684776.532	4869495.624	287067.4092	2708139.008	5612506.475	2589456.621
152.9944818_116.454	27045863.65	24038539.6	18322810.54	23409033.27	28042246.31	12577061.04	19766949.23	14120485.68	34433554.61	22205723.26
152.9944833_26.44305	4845728.313	5071680.113	5311239.665	10335478.53	9287195.419	3426347.336	3723072.027	9718548.668	9974775.665	9004637.495
152.9944971_365.183	146945273.7	85365726.48	38583804.5	107145588.2	98560700.99	26767376.56	118257689.3	58443441.63	176375990.5	90213749.27
152.9944865_45.94915	8063136.226	8581848.066	13071995.74	23123160.93	20942004.62	17067893.93	8346509.829	24437277.64	20622566.77	17736496.72
153.010545_116.262	3462470.781	2822604.274	8087442.371	3036468.183	4423874.361	1693016.502	1861598.307	2940843.769	4274778.601	2481007.926
153.0105418_46.072	3549239.862	1223264.794	4364886.639	10556249.03	4008497.458	2932678.034	974292.631	4610438.183	5224695.372	4720235.687
153.010552_26.24535	2882246.699	3017307.456	1655947.26	2478796.534	4387267.851	4560537.158	3631347.162	3700829.886	4272213.16	4243132.765
153.0116942_171.934	2154189.445	882549.2321	492071.5688	1682619.703	1123492.743	2493147.043	684549.4079	838279.0745	725526.2277	1598807.171
153.0295203_112.194	32919543.11	26559506.86	20554198.15	28054206.85	37108583.59	34678973.41	17637459.34	36597504.95	52429761.46	31563376.17
153.0323777_307.7765	5150446.095	11707230.95	26832676.05	10737622.16	11209958.3	35761497.05	5963442.42	10914995.19	17100398.61	7235408.006
153.040262_77.8389	92118370.21	132798510.8	304263281.3	427953510.8	348546050.9	388166732.6	98668285.83	421573271.3	698352041.2	791058767.5
153.0402863_93.675	5807072.356	9270227.363	12912772.11	27962581.04	23457287.25	19544416.29	6891823.823	25216184.62	37178047.08	49653791.21
153.0596305_148.331	163112.4354	574982.8234	1312247.132	815366.9435	325690.5657	439085.3453	314251.6719	287302.5436	387324.7839	475506.5739
153.0768025_219.9975	12115587.24	11888908.65	19431915.77	6143234.792	8719584.992	13752854.56	4144320.961	13441049.31	24338780.85	6920559.335
153.0654626_139.0175	4537742.258	4154379.421	5818827.319	4046802.869	5108683.721	18394180.22	6845759.328	4453805.16	2765728.359	6898678.304
153.0834854_258.0675	39913354.65	52182585.9	88109610.57	28510689.11	43950109.87	81797658.59	29322112.44	64519328.15	120290602.8	51143672.76
153.0905741_131.314	5962404.358	3432462.435	1033496.719	5947962.184	8275478.065	4147487.453	9276725.596	4274066.902	3474264.467	6133421.809
153.0905862_115.917	4037437.169	3554418.013	2670784.726	3725654.552	4607940.816	2878898.39	4035902.364	3739132.281	4912420.776	4113411.726
153.0897852_258.08	10173036.76	11572801.8	19350832.19	8253334.652	10756055.08	27005556.43	9038559.807	16578306.4	31705503.65	13131991.25
153.1269816_36.82295	528464.3704	389021.7697	676806.4475	941679.0588	1600921.452	960306.7271	330663.1696	980320.5638	994133.4787	1536939.732
153.9487798_240.7325	85285.02925	222300.4454	629508.1231	374356.3979	431962.1304	421775.501	36957.5647	123159.0689	213441.7946	217581.4667
153.9929735_305.2905	20715361.34	556407.0538	4356851.637	26244880.19	25248305.27	8175176.484	1354727.62	30345296.94	22136023.68	25770146.79
153.992905_115.8855	7544507.879	9046456.659	6601357.217	8252106.715	9261812.426	5176007.029	8249410.024	7901319.328	10450559.4	9940910.983
153.9929068_45.49095	3854708.274	4467521.991	6956500.957	7884243.575	7239362.94	8577286.495	4251388.202	11675898.25	15322516.05	8335971.111
153.9929155_26.9693	1543063.272	1943447.5	1519770.427	4182357.596	3669528.544	1215530.734	1794535.548	3815097.047	3050934.816	3157839.829
153.9929956_362.069	6539970.881	4443883.454	8485950.984	10715908.05	6780476.132	9981164.419	9816496.003	14338648.79	16680533.13	9966119.198
154.0057663_101.343	647758.1174	687611.6772	908779.8954	1614048.159	1489291.602	636721.9771	649019.8445	787228.7279	1228072.215	893291.7579
154.0164434_134.1805	1250841.938	621404.9576	441451.638	937970.6553	3838744.29	1748989.75	1010983.845	630659.1111	560289.0991	363679.5833
154.0045497_317.6815	2274203.536	2886357.297	1826105.741	4260137.412	4548753.408	1528113.659	1775194.248	3326401.869	3629550.706	4941878.325
154.0243018_77.5607	3603101.087	573091.4844	3940516.112	1188746.115	877096.4407	734392.4633	3005911.334	1203648.221	1998168.827	2627677.038
154.0372726_77.5607	976769.8322	2173670.641	3401054.948	5770903.612	4797972.151	2040177.505	2588487.217	5704351.78	9832040.025	10815530.57
154.0494634_139.189	220607.2259	377491.6776	574618.4156	680182.8313	598662.7761	2234254.073	841395.078	424412.3725	701721.8346	758316.9527
154.0436022_77.8729	4914916.428	7175519.647	16352205.28	22862763.24	19117236.63	17536215.54	6202073.467	22093517.18	38394707.8	41752788.46
154.0582499_227.056	1632186.286	6378515.151	63374.43094	3312603.327	7689180.478	1655927.281	1218566.192	4188258.758	15980749.31	2624326.155
154.08678_257.903	986251432.6	1073194512	1805953150	873192221.3	1081317529	2076771401	606659636.3	1316935553	2444947700	1056422302
154.0868537_297.946	29842680.38	30738627.14	27651433.64	9621087.168	10109449.44	47777530.3	19657539.89	15774170.95	56300131.71	33004371.12
154.1334699_338.0705	254697.1427	835158.8102	849071.9674	704704.5273	976306.9985	1242259.207	399987.0022	528986.8051	822655.8996	278416.1316
155.0099527_175.355	66311133.76	258531.5244	1785641.55	321330.9149	493708.6791	865000.2548	89879654.04	69807443.13	66795372.4	88897418.52
155.0445175_77.6351	19017093.14	9099787.717	711403.6761	1504763.084	21980587.96	1274367.745	18425147.45	1012311.365	1920486.257	2031061.117
155.0683878_213.699	2784901.216	3438297.184	372899.8982	2286496.996	2481807.573	1660824.529	1630798.88	4204234.083	4685526.824	1788393.521
155.0698252_132.374	2660406.808	3161438.75	2997014.651	2991628.933	2948491.703	2042364.088	4566032.32	1755484.387	1479983.344	3399605.384
155.0929145_258.083	904617.2006	723051.5838	1358451.328	413180.5441	1466369.032	721372.3579	633347.8248	1188232.053	3185464.802	1289541.032
155.1061976_115.64	2414526.581	2206049.139	2277478.769	3129669.291	3418540.224	2204720.44	1527712.342	2125194.454	2284303.497	2826515.006
155.1061866_45.5354	1544249.203	1366772.464	1856453.839	4119793.095	3686007.815	2471354.588	1345392.629	3384770.522	4872544.345	3352046.834
155.1062164_131.8825	1420685.103	4334722.624	2087273.191	4499563.435	3903505.062	2431463.096	4103222.97	3316023.801	2636599.163	5174822.874
155.1538225_34.80985	633249.817	384286.9993	664404.5831	2191076.091	3022726.248	531485.4429	472181.0362	2502900.906	2539260.176	2436840.579
155.1538312_127.206	532443.2017	2858555.611	774320.5394	1900782.541	1667431.232	1227940.127	1109634.498	1642430.861	1609025.065	1370693.64
155.9737854_112.152	1346329.903	1612287.259	1952469.922	3543629.712	4543551.061	3900103.538	1003651.444	3187558.158	3127183.182	1877226.909
155.9869103_114.815	2840562.072	2602828.912	3953028.781	1919471.014	2537929.467	1635586.454	1111309.171	5162004.997	6165491.111	683778.0932
155.9850394_101.277	1550285.62	1767887.736	1291164.118	3001013.314	2970174.676	1802950.056	1431421.348	2131560.627	2970185.918	2719911.235
155.9869332_46.3127	3164952.263	1410170.471	7911499.246	812989.4439	3122088.103	3568755.902	405881.7897	4041847.335	6587512.934	2414962.115
155.9902871_26.31485	1321172.736	1844900.489	892021.7385	1307302.824	3303420.052	1806900.044	2373676.982	4227869.79	4479484.071	4789843.521
155.9903284_364.945	56919979.97	22601003.23	5800719.246	36279944.6	27953043.74	12201481.6	17600112.02	50499393.64	49292470.66	28199375.83
155.9903781_261.056	9285884.575	9046322.55	7786679.102	6040022.389	8555181.682	6925751.748	7373543.516	12472650.12	8992470.998	6733873.105
155.9903397_278.887	10014714.9	9861296.68	5283705.739	8142515.756	11411013.5	7993781.088	5844216.353	7447133.127	12421905.46	6140939.313
155.9930815_116.411	12526550.15	20418174.09	8598786.249	13526880.34	12014751.87	9893462.398	11773086.2	13445506.06	14485191.67	8789055.323
155.9930905_45.7717	4196350.527	6071495.204	11899908.08	14676354.33	15321623.61	8663898.033	4794864.22	16641757.68	12059203.29	11172258.89
156.0076566_291.983	1293124.601	2518645.81	3017711.566	5949548.019	4770213.384	1638436.916	775889.1321	1695173.002	1712167.342	2113212.291
156.0416659_283.327	831810.889	2038237.029	1697923.426	8245757.802	4652694.919	6960099.184	1477938.82	4015673.243	3602536.449	5940999.152
156.0416599_240.58	1363605.242	2851508.018	1123217.984	6965133.788	3864228.972	1191756.082	3468303.795	3889816.872	2429886.241	6765618.528
156.0716625_213.358	119039216.9	98611214.35	102581566.3	110782639.9	125042687	44530796.7	84079555.88	130275105.6	197241846.2	134843765.6
156.076355_311.2135	15583243.21	45319400.44	156544269.9	60181519.33	51096233.17	319351063.6	52168775.98	167549066.6	209782750.2	120384438.8
156.0910726_258.084	5073901.191	5461333.11	7342527.136	2457924.968	6625633.704	7896851.141	3679630.989	8182398.064	15478883.48	5421164.226
156.099113_220.0845	3112276.799	1235673.07	3305837.135	1887294.965	1866853.159	3925559.469	865572.9652	2727449.673	2930976.33	1596856.102
156.101536_44.4682	215713.8239	241676.259	553467.6866	588022.3542	753887.2344	721304.4786	240254.7165	750701.6999	853582.2206	609373.5004
156.1378837_207.0415	4651878.948	3852760.149	3945476.542	4484044.503	4594702.813	4809172.449	4168041.559	4049506.265	4492275.821	4524407.665
156.1378725_124.227	6826708.391	7052969.481	7254081.315	8225829.643	7636088.348	6569275.7	6843753.945	9676755.949	9515277.468	7627302.62
156.1379113_43.84485	192115.4073	240187.1079	367455.5785	586199.4993	637448.0766	456059.0244	233428.1447	626667.1426	452787.4625	497670.2396
156.5179347_343.4375	1041251.152	1497320.17	5960617.386	3833265.592	3194747.438	2464751.095	45980.87402	1608050.753	1391428.198	2036504.729
156.9656113_584.33	2704021.78	2334810.086	2458270.175	4232230.503	5286169.244	2592357.138	345019.3133	5198530.868	2224681.175	4798788.731
156.9901177_114.3005	6801790.301	4630097.085	5635132.624	3887893.162	2398403.079	6694860.129	1310532.247	5778785.916	4199084.703	5430354.727
156.9902379_307.374	152809135.6	141310929.3	100139040.2	190599226.6	178186165.7	105168403.1	158732610.8	168211314.9	165075008.7	189839872.1
156.9902102_47.9484	1388472.932	4556930.646	5399759.128	10375077.55	8335387.404	7298417.197	2055319.366	7802269.343	7345036.365	5160464.403
156.9902489_364.702	20285312.51	2942960.595	22700905.7	58412518.37	41935116.93	19440011.88	43984256.06	20012254.46	51137299.1	45588896.32
157.0091251_46.0944	1348262.04	568512.3231	8733092.191	5086760.625	2595811.447	4872035.725	492679.5254	4549921.408	4814398.911	1313233.489
157.0734032_311.168	1251827.025	2555799.259	1105392.94	2870664.431	1113443.102	2222195.273	1237098.878	1486735.74	1916110.421	911126.744
157.0711207_214.419	606072.0803	587245.1999	703806.0635	430938.9418	570151.2082	3586287.994	1496655.946	508015.7071	1019020.902	663894.2462
157.0831419_182.127	6144889.646	13550770.36	1053744.137	9101432.746	6842767.591	1691141.87	18089936.35	13998516.1	10890240	9741183.713
157.0796992_311.7295	704537.1289	2765018.166	6154355.858	3678641.62	3185284.748	11602840.7	3094640.83	8380785.954	8606080.441	5992507.795
157.0831457_158.294	2245597.161	2703286.703	3524125.634	3172816.401	9992652.615	3040846.885	2485670.929	7666031.865	8623712.349	2140309.273
157.0854737_135.3385	1802912.1	2210517.24	777233.5654	2288151.861	1318450.322	827929.3076	2564825.18	1679944.456	3153849.003	3317641.255
157.0851914_48.69635	518078.4779	328526.4455	1149384.823	952043.36	1071461.141	1392069.966	377068.3966	995403.6167	1452911.032	1158248.27
157.0855265_115.44	1711686.839	1316255.216	1328548.317	1723343.972	2085577.008	1441681.942	1440513.709	1432096.131	2076949.535	1660765.32
157.5370061_342.951	221276.3922	399907.729	1403613.436	637204.9284	526271.618	763112.9088	0	477984.1016	521616.1429	434581.2968
157.9805417_111.5935	14580200.47	12118368.41	8699961.979	12266530.94	13986595.01	15300494.17	7514100.586	16378241.21	23134509.36	13039698.53
157.9805301_93.859	810725.7034	697232.1848	1117185.252	649334.9873	796245.0253	1398532.693	307072.7231	1029158.82	1607905.261	758935.8064
157.9879776_310.08	1017765.148	2435483.097	3215560.199	1152816.209	974705.9483	2338547.773	818409.7925	1158000.137	2625724.196	914390.4647
158.0024265_536.596	3467983.483	3140327.992	3614017.396	3411841.155	3462699.881	3240245.93	3966650.429	3591269.041	3579556.522	2529155.54
158.002436_435.689	3956267.963	14491769.44	1637034.174	18005995.49	4240411.365	4462953.507	5887935.393	9280178.484	17190385.23	10925332.8
158.0024276_577.178	1615295.924	1162427.931	2329523.768	796533.5641	2892791.179	284174.1342	2238937.337	4098211.532	2882995.615	3045757
158.0024229_505.006	1999940.631	1291214.119	1996255.863	4200308.385	4078104.602	1816789.979	3484960.425	3498358.839	4181010.515	4203517.976
157.9935703_307.5915	6303914.922	5095739.156	3724898.592	7578571.466	7423016.548	3458035.983	6732572.764	7150145.712	6860788.75	7990459.518
158.0024382_403.302	2143583.076	1418434.557	2057193.133	3330129.147	2661313.275	3197542.035	1514689.664	2721018.129	3557872.913	4804516.768
158.0024303_468.804	4149338.062	4011842.47	4857444.698	2368149.913	5074261.249	3315775.334	5241871.938	4568372.421	3640524.602	4347416.86
158.002435_486.7605	4227569.044	1822272.294	1957801.461	2624470.967	5141440.984	2672135.457	1606058.215	4858804.201	2733062.853	3086481.69
158.0675089_213.331	2499488.673	3462096.916	2735686.983	4561415.913	4267695.123	1227880.588	3282735.22	4611330.027	6326304.566	5461594.869
158.0919838_311.203	2246619.82	2137521.859	1381838.488	2644587.145	2544259.201	2967013.945	2339079.044	1843888.266	1032635.125	2577015.037
158.0993811_219.583	18023083.92	10423263.36	38783114.54	20679202.01	18653303.53	9720608.416	4980562.344	5428021.435	838378.007	4786430.793
158.0994124_172.283	34597368.4	27924094.84	447730.9239	55651662.06	23648260.35	200946.9936	19768146.15	7001158.399	639138.8273	15047105.39
158.1171353_284.265	24106092.77	32726574.41	33277794.07	28893677.04	25224458.27	21797074.76	22627009.26	29323043.97	35008179.27	30507771.09
158.1171306_121.713	18674554.12	19983621.93	21121286.54	25349894.75	28678906.3	22756196.88	17017993.21	29129341.35	30521979.75	27312934.96
158.1171308_223.726	7859215.175	7315248.939	4757966.513	7890371.152	9785761.387	5486430.005	8725788.285	8245877.411	7851049.316	7435567.82
158.1171423_44.9646	799352.3102	1172019.211	1782117.629	2350572.958	3812604.843	2449932.83	634576.9214	3243214.957	3536012.795	2583491.311
158.117114_257.938	5343319.159	4996268.076	6452637.741	10086694.08	3891513.656	5746318.912	8575882.436	5711329.15	12380543.67	6245197.591
158.1535184_116.784	2149591.77	2378449.969	2200933.882	3537483.811	3354244.341	1504709.396	3731320.76	1870205.886	3572455.421	3157972.48
158.1535288_40.87265	10382741.7	6666929.253	12400401.44	41785899.2	46048808.85	14336336.11	9218760.478	36887963.98	40772637.23	46851331.24
158.1535352_135.139	3153610.074	2872836.317	2563605.008	4420509.539	5351598.588	1523972.924	2347358.776	1680782.401	2050935.315	4226123.079
158.9215721_191.4515	7589.227463	269700.7344	2545423.168	980330.1474	792356.2672	990732.148	21914.05909	739262.8995	2893065.991	306208.8707
158.9609049_551.4305	24507479.13	12607025.82	19026809.13	46437195.9	45050991.39	15547545.06	24776333.16	31347083.71	15866207.92	48730319.86
158.963623_222.083	3354935.837	4442824.388	19721629.53	5083127.557	5083316.66	35640803.32	2938581.908	17244062.2	15455199.29	3792530.538
158.9608992_594.4945	29069329.14	32317446.45	30964445.17	51915552.73	29060511.92	19884921.53	15415629.37	32676129.65	18731059.43	53947975.51
158.960912_582.176	52714399.83	29320519.45	18530219.69	39636910.64	50776902.89	22591510.24	26788643.33	21059099.7	44909669.93	42865350.58
158.9609146_501.021	13551385.1	11535523.94	9105358.624	23078291.91	25373504.37	16069027.85	26887014.72	24532476.27	21336101.29	16684536.49
158.9609146_458.454	8978099.178	9315657.081	4720784.141	15230258.27	9353301.162	6125075.476	10435140.76	8194914.058	15221057.05	17851528.94
158.9856473_115.2365	1645580.919	1273354.373	1523423.351	1372916.376	1206967.219	1657909.752	1494273.312	2056950.794	1496433.767	1275084.428
158.9856503_307.582	57867660.06	53915153.69	37739711.01	70949011.48	66994542.93	43271141.4	60439307.3	62916712.18	62692217.98	71589924.41
158.9856483_47.21405	283993.4229	711505.3051	1708341.537	765307.1215	1714820.135	2078357.557	534392.2758	1246338.705	2279434.365	875803.2187
159.0272859_128.116	6192147.762	30678875.91	43874927.14	28580323.68	20782083.44	31105234.45	14088063.15	26010523.88	78027586.59	25367253.01
159.0247176_111.724	2696653.767	2467327.439	3035132.739	5399860.816	6213844.489	5550539.318	1852610.584	5390053.457	5533221.659	3198225.954
159.0247288_166.749	3557598.411	2993974.066	35618.25643	3145800.871	2403537.657	1813873.891	994260.2243	2377279.853	2076801.703	924184.55
159.050839_72.5119	2546759.383	4387783.825	7983848.951	10184273.93	7172661.311	3897566.228	2512903.975	7267307.286	7655976.644	5738680.735
159.0759878_272.7075	8502735.637	16854652.46	50736486.2	19326406.93	13728057.38	212174701.6	23553442.37	79632912.88	31927601.2	43948896.16
159.091252_198.394	286142.4705	982658.0094	734867.9955	1170073.4	792240.8439	763897.7299	963915.9579	1776698.928	1445426.502	1581303.757
159.1163963_35.23215	1304676.731	292762.1169	374321.0291	3060718.89	1166606.807	481930.3443	1243267.977	1194653.141	10520558.93	1794114.256
159.1204738_284.3335	1097859.456	1178695.662	2681465.148	2219862.274	1979198.751	1253823.197	893592.7594	927910.3591	1462554.956	1321288.394
159.1487453_35.0053	2212903.488	2118812.912	3878034.486	11863308.7	9868156.573	2881121.98	3399511.24	12479442.06	13672090.92	11853114.99
159.1568646_41.0382	891332.3244	544633.892	986774.8878	3743319.182	3994874.204	1179713.789	678911.0272	3339230.141	3487589.26	4190810.285
159.9860041_308.518	2274704.958	1748638.829	1237915.26	2534954.484	2437141.885	1159674.605	2255767.686	2495577.743	1829792.747	2732446.236
160.0158725_292.23	576881.5073	1041131.46	2003406.207	1769600.26	1817803.565	1694718.166	822970.4034	1236491.314	4101020.481	1906682.764
160.0306245_128.588	209911.441	1308591.626	1843957.276	991165.7879	855448.3773	1301925.917	510615.4117	796448.0715	3857772.979	1016042.063
160.0325665_153.415	1729395.802	1401601.549	265264.2295	1775417.616	1182331.864	708073.7905	2247397.122	1122421.608	1148335.115	1961538.802
160.0752384_125.631	24232790.2	65547272.38	79288047.65	89338546.81	97334249.14	34654776.28	29568020.09	49928960.98	85964162.84	44537909.93
160.0793131_272.882	976360.2013	820153.9553	2437264.788	361753.4826	948798.2072	10799465.91	1319655.36	3887798.009	1362909.024	1657129.753
160.0963892_42.5842	509398.4537	614169.3408	1414138.603	2674308.306	1544657.157	966516.6854	124293.8646	649488.2531	891404.3951	630936.136
160.0951639_133.399	3252992.856	311463.7049	2994561.871	2683969.945	1939922.503	1039846.003	4127756.916	17810378.44	20413769.04	2139565.001
160.1327609_246.148	9370237.707	71528023.1	331175486	163450521.6	167307042.6	249161847.9	6795732.993	39576123.35	57698493.94	112141017.3
160.132744_122.3825	9365220.699	9806552.225	8116273.02	10190305.46	13280887.11	8474925.343	8992875.007	8401890.665	9355882.104	13151558.46
160.1327631_218.761	8206610.843	7937836.311	14030920.21	8214612.114	10463357.92	12101890.93	8167277.164	7813241.519	10228349.18	7417440.428
160.1327626_45.09055	673820.3141	632787.8852	944397.5613	1637909.227	1521347.39	950265.8139	395301.0617	853854.1386	1064436.409	983789.9382
160.1521182_34.5476	157064.1241	93724.83617	275180.9473	782113.7832	1284402.682	207024.35	251035.5963	963736.6079	959394.8166	844219.4728
160.5260121_344.318	1055568.968	3274345.398	9845519.866	7137203.668	6005394.283	6361075.425	1505811.929	5060493.109	7411644.691	5069099.428
160.9639567_100.717	2736349.362	2667288.652	2028447.605	4785784.231	3870984.351	2565129.522	2284599.437	3481608.806	3722897.613	4386223.98
160.9831832_307.713	7808644.575	7316343.081	5115710.248	9305908.382	9096459.587	5064357.635	7797609.76	8621343.303	8267510.424	9290674.719
161.0785696_125.479	2195214.935	6844730.274	3469584.303	9362626.368	5948936.263	4143219.453	2989410.496	4062408.012	8919965.401	3462136.603
161.0916234_256.811	4611726.683	2410568.745	1375430.886	1725521.094	1419910.23	5811789.227	429809.4398	1150787.677	1335904.393	853991.5736
161.1280058_322.451	589280.489	1256763.936	8164088.237	1859106.239	1131223.239	8647022.063	522717.0567	3257598.562	4487095.777	1032722.75
161.1320272_36.0685	616803.0802	595820.3601	509744.917	2757821.603	1857976.227	629635.1002	543074.7792	1549851.241	1323284.522	2377921.478
161.1357215_135.297	777272.1405	1099623.138	839578.5114	1275955.405	1058980.139	949222.5905	1197429.929	234762.3479	1222720.748	1241439.724
161.1361101_250.677	9037854.349	15658850.8	22690815.37	12894809.69	13477385.44	13425644.03	1916611.181	3267784.552	4000864.118	8965609.375
161.5362804_111.507	2005273.77	1239897.559	1195874.863	1556769.232	2573629.57	1527840.837	1228017.204	2367212.943	2762296.328	2081501.688
161.5451039_347.79	391746.8504	1141479.052	3438290.351	1332404.157	1453700.677	2849908.389	115401.0772	1989323.654	1643226.852	1730814.283
161.9947597_116.1965	7263544.51	4443338.017	2993083.452	5756158.876	6147550.97	4663113.67	5880865.391	4413000.79	5565341.412	5647762.226
161.9947449_26.22795	2221543.704	1982737.114	2599618.805	5125953.701	6332160.372	1489862.782	2119928.722	3592799.16	3365778.706	3918315.649
161.9947499_45.2871	2188521.403	3517324.589	6031743.201	6072125.088	5917681.179	6544736.116	3321538.817	11009420.52	14096991.39	6805977.556
161.9947613_1.95885	1003975.922	1070003.974	1082252.151	3082235.062	3800822.78	2662261.596	1086529.317	3545412.905	5756126.572	2993957.853
162.0347494_111.5185	21207116.48	20490194.86	16451359.65	19831109.78	31694025.57	26932586.04	13303232.56	30903366.96	46205848.95	25120970.75
162.034731_93.9125	1481341.059	1454470.894	1674689.112	1716617.77	2269031.867	2865940.637	1165223.796	2124496.307	2865760.156	2017500.089
162.0496368_222.621	650158.5915	1135426.159	9550.886919	88695.88732	1150576.199	4442018.748	94883.31486	1716209.049	4365637.994	79820.92368
162.0756102_220.8035	2831494.647	6543954.71	18244169.72	8295894.553	6000815.193	7194875.363	893548.6779	2012296.027	3175559.436	2248744.852
162.07514_51.18225	179558.3883	171281.3516	1006038.377	657014.1467	693076.854	754685.3417	404191.1811	788849.1094	1153546.247	783212.6377
162.1119725_253.3755	714450519	470649558.4	2542279232	630052118.2	1228255598	1752289557	90259178.46	193494157.1	194390178	448045075.6
162.1119966_291.286	5045051.559	4048718.011	13542903.15	6871972.499	22942140.29	14464313.82	2390308.8	9207274.482	4367385.671	4548687.661
162.1119708_126.891	5938419.556	9990421.329	11680416.5	14418885.21	20264321.26	8386205.477	7606103.545	17956855.07	19191219.78	15867590.23
162.9932075_44.811	268946.037	445686.9637	909905.3307	446814.5812	804303.7481	965025.154	306004.3127	774574.7122	1019160.323	596396.6833
163.0349637_111.317	3007017.816	2557502.271	2832814.706	3424536.513	4563384.41	4325021.792	1642012.667	4707328.268	6791179.655	3680465.71
163.0612264_165.428	937501.2415	649169.4236	1439355.272	1388925.293	875203.0978	1078491.124	798987.9836	845195.8091	929790.3058	1582862.898
163.0748796_134.674	2447578.777	2103856.009	2179833.989	2665595.957	2557617.563	2433268.527	3264063.427	779265.8993	3147200.421	3183289.45
163.0834306_325.8505	1058615.896	1412817.09	14177509.08	2740369.005	1986065.55	11508909.05	429618.9101	2060930.259	4035577.701	1018984.736
163.1072419_325.597	1334809.735	1036646.776	9190748.785	1679050.375	1097227.764	9970159.994	220062.9071	2425454.167	3266860.295	607565.6984
163.1091551_252.783	20426051.25	24237112.1	3292167.829	3086730.444	2072929.203	3733313.541	6487775.584	13755078.44	12968270.59	22461825.83
163.1152465_133.904	1613915.938	939461.5917	971962.7484	1271817.753	843382.6591	960980.8579	1060886.676	841054.9667	1080395.08	1386433.283
163.1224967_220.106	672050.5598	599817.291	572025.4241	503383.4464	971812.8082	391064.4732	276977.2401	637355.0527	979993.8794	376172.2955
163.1476625_35.52665	424028.251	454691.628	306881.0937	2093060.781	1183767.335	549969.6171	293274.864	1089627.288	862436.019	793950.376
163.5851012_325.4845	11424.4845	96987.79754	1540670.625	223908.7366	145740.9133	1970480.754	12675.60539	466727.9033	569640.6527	85656.29595
163.9900704_34.1739	34008568.06	24728724.83	41162856.98	41409362.91	47894617.17	44900260.6	32821115.66	44583906.29	58553945	50628913.73
163.9900682_4.591425	25817427.85	20034372.31	23566137.94	42342825.1	43941798.97	18347477.71	25934295.75	49376429.25	83092274.98	29788678.93
163.9900753_83.52135	14171134.14	11246687.89	21003164.46	29812744.13	33899982.69	19629984.66	10832678.43	38595052.88	32681384.69	41104357.37
163.9900619_116.562	139130669.3	133167442	97530779.34	134799099	117920302.5	114413333.8	102904112.8	115782312.5	106497135	160196400.8
163.9900556_259.373	8958454.561	25901642.81	6300307.481	21595837.09	1707722.701	14511061.49	32213114.32	10394881.36	7281913.501	15368207.94
163.9900675_278.6555	17479771.99	17281825.05	14545255.96	16635407.22	18206338.39	15249045.32	22591967.9	17643980.95	7175045.974	19509032.81
163.9900772_200.125	26163955.41	35599691.67	27317826.98	32313721.03	34965631.23	22802463.74	33638560.32	39770500.08	9759787.886	24335773.51
163.9900768_153.696	58422158.85	69094867.86	18435128.67	62517536.43	51860001.33	23019469.04	56300729.82	28686090.34	23524203.41	58974557.81
