mz_time	JDC_20160102_LU.CT22_001	JDC_20160102_LU.CT23_001	JDC_20160102_LU.CT24_001	JDC_20160102_LU.CT48_001	JDC_20160102_LU.CT50_001	JDC_20160102_LU.CTH26_001	JDC_20160102_LU.CTH28_001	JDC_20160102_LU.CTH46_001	JDC_20160102_LU.CTH47_001	JDC_20160102_LU.CTH49_001
89.5065231_45.5612	110999471.2	161570846	343333521.2	405953362.6	463178965.4	292199133.4	110546706.8	790524560.6	572576354.1	408413677.2
89.50651503_26.6473	87821158.06	81625677.4	108418775.5	263056900.6	332084897.3	60129176.95	75733501.93	213938760.8	273674119.2	269138513.4
89.52230321_45.2667	312925.3169	411998.5871	927621.4375	654586.6735	943160.1245	98922266.47	250880.1411	454512.0609	1114783.221	1312076.209
89.52230998_26.1097	359298.3715	371189.8601	369316.7437	1388506.904	1058350.364	64771793.51	49954525.77	650094.7677	138607924.8	899481.1161
89.52229676_115.246	722277.5039	97952.27391	65768745.73	89417018.1	700417.5992	340802.1419	666488.7955	84298327.86	702736.5809	754879.494
90.0050487_45.657	809051.6445	1400848.317	2487374.344	1875105.398	2292491.173	3612937.324	947461.5531	3669183.593	3369267.544	3038998.163
90.00504718_26.27985	684797.3018	896001.0142	1056554.802	2669107.707	2519989.095	3650510.273	3157057.261	5272865.851	8107938.999	5428154.26
90.00677997_116.3815	15354760.61	4086975.314	5880738.785	10901575.34	10786533.99	9681998.429	5302862.407	4857536.444	19658126.64	3087216.799
90.00685595_2.20496	2588636.365	4154397.455	1829006.044	2846677.233	11902314.66	3094793.894	2708600.279	7207634.096	6697268.932	3006902.478
90.00818767_260.7675	4124919.551	4761424.456	4347730.097	8143829.016	6400629.269	3034356.469	4106813.111	6694811.758	4780772.227	8104588.557
90.00819357_362.6655	12804300.93	19792614.59	4440098.861	20555984.7	13795357.09	8085451.533	8203276.113	15121828.21	15735491.85	17069033.05
90.00811077_26.7805	1809584.69	2096813.928	2329864.248	7725023.008	7669553.163	1739343.608	4596854.812	6526112.846	18126646.4	17873689.86
90.00795439_45.6756	1661853.899	6234762.306	14447535.28	12855164.65	8189637.926	17033383.82	3525780.698	24286457.06	24546537.16	8846922.959
90.03877753_232.391	1440110.805	533522.1301	323797.6209	515064.3403	555217.0425	792839.4758	1116936.311	282453.2296	185208.6689	209894.4188
90.05472192_251.2575	2540393.935	5698689.219	8258711.031	7540679.181	7272305.537	19040129.82	4149104.795	9150297.702	10544664.9	8686445.332
90.05472203_48.2157	1867726.021	1952496.351	1223407.954	4841989.607	5595031.286	2039674.141	1805189.657	4362827.938	1636045.329	2335715.918
90.05472228_232.18	27664329.46	59676420.2	69580494.23	60621811.9	68928115.48	199342384.7	44170780.39	95102000.25	99087667.45	68712757.92
90.07065206_232.258	22207225.4	108370.9772	39863946.98	30808187.59	34999830.99	803993.1621	21489906.67	256490.2465	305250.364	169676.7339
90.09111727_233.407	19016878.53	20660038.39	11127557.18	20297443.19	11318759.51	9746878.27	8749727.49	24911684.58	11588594.56	27273332.56
90.09110791_120.4415	32004606.55	34312247.15	42864752.5	38450236.98	46600693.33	30267965.7	36018523.89	54647741.84	65364221.91	42653101.3
90.09110494_45.99	2272253.215	2603481.28	5595831.272	5437769.048	6844527.507	7628333.208	2122500.677	5624506.173	9104838.526	6094785.611
90.0911251_201.145	22980423.52	21443731.94	8061125.049	22152552.38	25641257.44	11172588.39	21008993.93	21832374.9	24340661.76	27116549.38
90.50673538_118.4035	17607981.76	18400347.89	15344697.44	16740910.27	21432403.22	17156424.18	20522761.08	16857618.77	20476115.16	24812969.66
90.50672941_46.8221	6168529.075	4410535.796	8770130.552	11026504.07	12343139.9	16723410.03	3777156.321	27029249.88	22688436.11	14272861.01
90.5067254_25.9195	5002130.79	5677009.577	5425105.583	15280653.95	10303510.28	5951046.973	3986171.117	9167252.546	12908740.3	17048105.85
90.50672141_2.41418	2418909.516	0	2956607.087	8902758.566	14223126.21	3585801.025	3102268.491	11224503.69	11200008.75	11850284.95
90.5067332_92.6385	3478675.384	3431646.09	4642851.167	8405722.035	11951863	3384797.887	3420550.199	10191057.79	12410397.32	10588545.53
90.50674589_307.0155	82591466.67	78599040.59	56863502.93	95810638.77	91111126.06	58956941.11	88071896.62	87656894.7	84407630.1	96821194.23
90.52559442_130.87	3077726.524	910804.9667	754366.7063	2230410.905	1156964.385	416088.7158	2139240.153	1769182.802	1733654.005	3135071.279
90.52560898_320.183	212275249	201637842.3	168118091.4	263654619	211456369.5	125593281.8	175375659	189701612.8	202352211.5	241691573.8
90.52561129_284.086	8133791.138	6057700.282	7629700.433	10901730.4	9316447.067	10930384.39	9570697.873	9090096.143	11664743.19	7846091.973
90.9474521_561.7785	940686.8032	580683.7717	851426.9883	1024445.934	282199.297	226200.3328	758115.2309	589770.6411	580255.0697	586727.6147
90.97639813_222.054	11652206.66	12146562.29	48365070.25	20337229.99	19356254.62	70134423.78	10276139.66	35846108.88	55687190.79	16723850.87
90.97642907_183.26	5308145.935	10803703.63	81111.35885	36011104.63	14041764.66	370213.0811	22882064.67	38722473.56	31217243.7	14807467.97
90.97641448_155.7625	82867.87308	2020622.968	3024617.341	4110255.846	16929892.06	3551119.55	114811.0518	19632744.42	34758859	1296275.183
91.00840453_307.066	4762100.192	4517831.07	2682124.206	5843672.345	5280279.634	1945199.597	5424222.568	5369223.596	5060216.201	6505293.51
91.02730562_321.23	11865521.26	7556711.264	9700422.523	12093374.76	9893216.603	4171443.446	14687500.45	11037505.75	12669978.78	13117434.67
91.05397361_123.092	6040924.681	4853299.292	9441770.409	4037824.422	3420534.843	7489668.558	1427643.747	7225847.134	4161128.101	4624816.934
91.0539806_206.409	9347735.92	9514744.786	10250396.89	9003217.584	9639360.37	8415633.114	8453056.523	10805042.16	13820792.24	11864758.99
91.05398246_39.1911	1653893.473	1347615.254	2092624.044	5189706.321	4912045.598	1894179.844	1456628.44	2921933.897	3415649.503	4221893.131
91.05807179_232.358	823634.2401	1646682.33	2256149.262	1467539.695	1389540.508	5717312.156	908365.5908	2597131.904	2156063.524	1234264.473
91.50444985_117.869	5462686.635	5867789.903	4057621.532	8017110.022	8641752.134	5242669.445	6652502.176	3200675.777	6713232.236	5891154.655
91.50443765_307.5095	31194481.93	29922728.13	21529632.59	35761520.43	34650514.03	24512608.05	32710651	33607658.11	27694565.72	37379548.59
91.50444002_46.6013	2006294.442	1798300.074	5002365.201	3618769.934	4904552.542	4373006.811	1606007.971	4477187.526	8091211.909	3988048.317
91.50443648_26.1465	1892026.296	1884014.218	2266555.917	5802875.55	7743498.004	1365611.812	1502120.345	4786890.928	4820469.79	5075994.156
91.54210327_308.507	1757420.647	3880119.51	11142809.42	1984220.499	2096288.742	14180180.95	1813812.096	12371892.2	2991586.986	24432217.7
92.01620398_269.643	1270264.653	2190712.32	3220952.402	2427387.844	3809373.913	5336127.108	884500.9116	1694813.836	1592164.393	1295591.059
92.05893327_232.351	34000.44941	108372.3376	137312.8021	101494.0124	131547.0274	707103.1469	93158.67414	225306.3393	225119.24	149643.8518
92.31238931_114.426	368731.4003	500131.4511	136194.5772	285408.4184	403953.1841	396475.226	538435.4922	504296.4651	496454.3454	568244.1488
92.44491307_273.373	226308.7772	434867.3463	366616.6095	389290.9365	348273.6624	518862.9411	23288.06066	290875.8342	189483.4035	248272.0962
92.50321196_307.5845	3672477.615	4049713.167	2412206.747	5078385.599	3877932.288	1909331.762	4468093.849	4442046.405	4266821.131	4985064.936
92.52202155_320.0015	1399652.193	4071210.27	1654469.039	3179894.586	2679570.533	1965891.221	3991368.486	3251985.608	3049659.999	3091284.187
93.06963957_35.76065	565860.2701	365016.6	426053.1886	2153573.267	1349077.869	491206.8327	415035.4079	1186339.203	871707.4529	1528852.884
93.60162122_377.3295	46171.37692	679139.6404	11263359.34	46975.46121	85321.88941	6084712.506	19277.71719	362070.0586	885759.6905	21475.22608
94.02778956_307.818	81631987.35	81705554.53	444630741.5	130702489.5	156704267.2	4459581.808	73009408.84	271437199.9	291526877.1	123466401.6
94.04481518_282.554	2162689.464	2516185.282	3265294.423	3805006.172	4447396.19	3027006.981	2290569.984	6593189.924	3655933.209	5885149.391
94.0448192_307.642	150887278.9	317178035.2	821003048.1	284493550	312529886.9	1128873111	148888361.4	283980855.3	457708265.4	198614143.6
94.06487127_199.7005	719704.7754	463020.2104	374113.6279	1514962.851	1853481.379	645658.9507	1973535.83	1579939.124	1821333.339	2601146.074
94.54515821_308.305	11391982.21	11570253.07	15221830.78	21376696.21	36145206.74	50924534.18	5465381.837	15943763.48	10729331.77	18871430.82
95.01250047_46.417	43253.95308	151160.4126	5207144.596	1475707.623	1215246.917	2012969.648	147031.7174	1486824.973	1252258.765	436212.2119
95.04357826_308.023	23282373.29	50938841.51	114625026	44415418.63	48278204.56	249434660.6	22870368.78	44052553.18	61142449.8	30602417.94
95.04887041_206.8165	3852089.781	3911372.34	3528030.176	2916590.642	3194236.739	4829550.087	3172124.348	4329249.995	5749571.467	4818411.222
95.04793595_308.5965	9786322.887	3188637.471	7775042.76	2890018.247	3181200.32	9823884.111	10312874.85	2447577.383	1875205.428	9561804.334
95.06011552_337.623	368360.5907	3488739.115	2093584.321	1856744.205	1943363.427	1300381.431	6655584.409	6317874.665	10229177.6	1422343.101
95.08324433_363.156	4259113.456	2887738.423	1365240.938	467803.7936	335506.2482	1392992.591	4686605.677	644912.6848	859836.4957	1578297.595
95.08525407_131.297	8765162.593	11514720.76	7047620.415	9029727.233	9695916.857	4282389.989	5135160.769	6549562.919	2986820.937	11043369.81
95.08525514_117.84	6388582.469	5437339.199	6914166.093	6969121.613	4819639.514	5454745.318	6060399.996	5781529.824	8484670.937	6233293.389
95.08525672_36.0685	3944618.662	2919794.567	2289287.716	13189618.37	7399974.753	4909167.866	2379755.435	6053118.968	5750193.163	8317014.981
95.54523683_307.864	1866956.057	3979127.395	5064508.217	3356158.459	3972700.571	7296842.215	1282606.839	3630289.776	5858753.006	2295620.398
96.0440948_129.384	1867456.688	2095810.5	1786876.44	2667570.384	2661390.915	1115716.525	896981.0525	1013883.794	1190787.984	1089106.933
96.51450483_120.4755	3402725.293	2808202.153	2533643.899	1649128.266	1653442.875	2137573.761	3912130.466	1887636.303	1722558.103	1636235.922
97.0281546_198.121	565457.246	1014708.348	3478017.504	698267.3364	929844.1876	3740982.558	555053.291	1201380.195	2320799.181	699014.1382
97.06454821_46.63775	2439248.138	2461331.617	4013854.356	6243886.782	7724301.661	5227661.422	2343754.511	7424526.655	13173338.22	6667018.069
97.06454945_130.916	7933816.986	8988346.333	7582046.514	12336784.58	10218875.24	13702872.63	11257223.65	8600275.115	808035.8558	13237323.49
97.06455503_116.411	8436112.811	7116249.225	9790903.86	8547555.928	9938419.355	7325108.346	6140525.753	7291978.55	10242255.93	6820755.874
97.51409251_116.9305	54498779.08	50608196.91	52681457.41	54329265.03	66703476.71	40572689.68	57914084.57	48020150.69	56139688.1	48677354.86
97.51409197_26.9947	15174427.38	17442721.31	18896399.25	37751873.49	48285812.35	11730824.34	16412296.46	38177091.05	48693756.19	38185681.94
97.51409785_45.7942	18834534.95	27393652.81	42205789.51	52537707.37	62403669.48	49047943.67	22476324.86	81796076.51	80408829.82	55484270.36
97.51409417_93.6175	13528742.26	13540819.16	12889598.92	28138710.35	26685810.32	11633821.28	13625010.46	21776330.27	24571162.26	19913542.79
97.96852317_27.01835	8017763.285	1409284.831	2088654.605	3236106.166	4092308.242	8099747.496	8267523.048	3189529.119	13858030.31	3691647.662
97.99107389_320.677	94008415.71	83001696.44	63829170.82	99788265.95	86314638.16	45013366.87	78289784.31	72058193.2	72555678.3	78281419.31
97.99106767_282.158	3988271.272	6718490.517	3718403.824	16238953.72	5387487.768	3596086.784	6812987.552	2875895.61	6277912.531	11468229.4
97.99107607_483.292	2874104.427	3855628.841	3317407.66	3056977.203	4637235.853	2441100.379	3965772.059	3408697.414	6058177.767	7309441.514
97.99107778_443.001	4200116.195	4690734.537	3897958.316	3579957.333	8612475.617	4782400.368	3738758.146	6565173.601	7568407.35	4690274.048
97.99107727_419.458	6473015.386	5669424.412	6374220.826	9472029.626	7712754.498	2783308.923	3402607.201	8857994.349	10958374.54	7423008.598
97.99107127_359.0755	17245842.39	11397473.2	10699072.11	26408127.95	15006885.31	10799324.84	27903425.42	18085627.31	31426377.11	29718230.33
98.0133157_116.636	28019713.98	31235588.52	23463220.13	41001800.53	30806140.76	25008727.46	30188337.25	41535494.88	23602068.13	28419747.57
98.01330342_305.637	27303443.61	28173698.22	22650527.15	28652651.76	28896113.27	17071898.33	31946524.28	28265605.32	25283239.08	29162553.54
98.01336576_45.5196	3582014.725	1332086.637	32433980.87	19858459.08	11521437.8	32780291.67	1311017.449	18949335.85	63712950.77	2444938.975
98.01333506_26.89	2563876.234	4361631.174	3174994.198	21313231.42	6758594.525	3498319.656	7268379.021	7431094.921	13219956.89	12640881.4
98.01331647_2.64705	3334772.406	3353883.018	5152744.274	12525841.68	10767469.17	7411919.572	2500274.429	7901860.727	15900481.49	10497866.96
98.01331428_93.9775	6819486.21	6751541.649	5612381.83	10932094.67	13955713.05	6978497.413	5312948.742	9705166.174	12206010.28	8803120.639
98.01574349_115.162	10488980.2	695772.3401	6427745.653	9242750.491	9901677.025	1744898.724	2002597.321	9318903.623	9754889.183	17729755.55
98.05735191_226.743	1993239.262	8278161.303	672024.2378	10365475.24	4258187.865	1613242.836	315809.3667	505742.0123	216111.2678	140191.384
98.09615288_121.304	2054382.608	1634495.515	1715627.437	1251493.292	1822877.38	1446134.263	1210333.528	1943789.69	1794111.299	1336202.771
98.09614668_217.996	801006.4328	1124122.785	1217471.415	1224260.66	1669926.705	641173.5894	416506.7106	467977.2621	781858.3645	671598.1613
98.49347248_116.007	1423846.268	2632652.119	2072763.238	3043658.255	2448864.014	1968075.814	2371114.213	2774286.509	2924038.145	1469317.017
98.49344788_46.64405	95651373.35	1063548.727	1664466.623	2399361.455	277474072.7	1410014.966	1276539.276	1650499.804	328527670.8	462016225.2
98.51172803_116.834	1275901908	832347204.6	719817979.1	1012039039	976200405.8	904432046.2	849557151	931038601.9	971641357	963726766.7
98.51172816_45.9793	568328387.2	452033572.8	687320269	896267937.9	1041248898	510536917.2	311453437.3	1887647630	1771560312	886084631.7
98.51170356_26.0408	150032757.4	146452902.7	297956206.6	702075412.9	679017856.5	197474995.8	212232696.9	357186886.4	610020358.9	569474353
98.52996526_115.857	2405291.815	2440644.809	1976365.612	2463190.359	2322351.44	2251545.86	3036601.925	2827096.642	2564771.578	2622087.542
98.52996513_45.5196	1024094.992	118178769.7	261203724.1	2413238.175	2335564.835	3036883.574	1242253.902	3672599.317	3188105.358	3489657.676
98.65750028_273.606	350594.8583	853671.6626	370382.4027	292184.1259	403648.9319	502226.745	26784.06558	176545.1191	288918.4632	206160.9828
98.96108148_307.201	7917275.956	8235234.296	4807851.986	7987043.872	7399215.885	5406726.211	9010032.282	8075698.762	7382898.148	7990287.912
98.96551317_163.626	78797899.72	311992.8557	9817726.483	91253995.65	133783.4651	2372217.596	41029124.34	85527481.68	470916.3479	84537718.04
98.98389053_251.444	11104570.11	18657003.83	214490049.2	38759522.06	28323169.85	17005927.1	8819936.217	13443193.54	18702395.16	22407928.67
98.9838871_276.342	4464312.113	5854093.899	586798511.3	19395428.05	16129078.04	12983384.23	14676429.9	42288238.91	33438784.52	16296884.58
98.98388732_264.0055	12212060.51	17355525.57	166977949.5	19212106.88	19424567.45	21674433.25	7460054.536	19693092.35	25043495.42	16880737.82
98.98389075_234.645	9660188.146	8552511.687	59157411.88	9034172.899	15030363.8	9325822.153	9113963.282	12841139.61	13564470.92	7163679.576
98.98388834_161.2595	78429802.06	170919877.8	4779459973	122061318.8	148638247.9	31605198.84	84185362.54	89038239.29	227083203.2	109284069.9
98.98389798_335.155	11097185.05	39216655.87	103093693.4	50018140.36	41752285.52	22343546.61	32455889.15	30735505.19	21795487.47	34124070.23
98.98388914_350.1775	4963121.168	18561897.55	72914987.59	26920060.56	15696034.59	24726602.51	12311894.95	27671912.53	14977019.95	24345673.25
98.98388065_129.385	4557513.432	2660571.485	681801113.8	12178039.77	11530223.77	14164453.38	3659142.14	4012157.279	9175316.176	11737436.04
98.98389659_42.037	412537.6603	612960.6167	21193953.3	2688710.767	3837232.203	868631.5616	6220400.493	686238.5996	871343.3875	816269.49
98.98389081_178.999	111497779.5	74969165.09	948790554.7	87132267.16	97170346.6	737822719.4	34076985.84	73880414.72	137142029.5	64881099
98.98388865_203.543	45408303.64	110973329.8	1615566543	33397201.39	48408787.18	257812038.2	33376505.88	60316727.4	49640161.76	32141943.2
98.98389509_299.224	9893429.93	3558324.411	81917660.43	8150813.547	15257344.56	12661571.03	10165651.53	9070003.903	13427818.22	15523491.99
99.01172925_116.844	7608899.099	17316143.84	7780010.353	12905873.16	11408534.99	8865245.675	11132025.98	9634078.209	12332303.45	10057983.4
99.00225496_162.915	11587787.18	218595.8792	5137036.954	44529044.53	54495819.76	2325555.688	11954834.24	96825981	493483.1952	74305637.39
99.01178534_45.7593	3202493.21	5606063.53	11798548.2	7760274.769	13391660.12	12148108.31	3130195.8	17665577.47	8409847.793	8142954.353
99.0119995_26.6598	4208464.747	3444865.863	10908420.16	25810313.2	20768509.63	8788131.248	10768073.47	12163142	11906100.21	9401353.357
99.0094353_100.042	2508329.435	2745961.368	3025634.3	5826584.844	5552436.134	2442701.648	2546388.622	4043667.286	4587972.243	5608924.124
99.01200826_2.22888	3228553.991	4859376.09	8225917.132	16859244.39	7787146.364	6040712.695	0	7638055.853	5176294.492	11520277.54
