CyID	CT22	CT23	CT24	CT48	CT50	CTH26	CTH28	CTH46	CTH47	CTH49
IL-1beta	27.81818182	15.54545455	17.81818182	3.272727273	33.72727273	90.54545455	93.72727273	144.6363636	71	204.1818182
IL-6	0	0	0	0	1.555555556	95.11111111	118	220.8888889	122	96.88888889
IL-10	0	0	0	0	0	196.5	191.5	486.5	201.5	1151.5
TNF-alpha	0	0	0	0	0	9.648648649	7.486486486	15.32432432	3.972972973	26.13513514
IFN-gamma	13.8	0	0	0	0	628.8	515.8	221.8	145.3	164.8
MCP-1	48.57407407	185.0555556	67.83333333	81.72222222	89.68518519	334.1296296	345.2407407	370.2407407	343.3888889	297.8333333
RANTES	316.5714286	293	334.4285714	333.7142857	737.2857143	1305.142857	1382.285714	1527.285714	863.7142857	1610.142857
KC	47.89655172	309.6206897	71.68965517	62.37931034	83.4137931	92.37931034	103.4137931	145.8275862	99.62068966	91
IP-10	296.3333333	236.3333333	246.3333333	303	273	569.6666667	569.6666667	729.6666667	416.3333333	459.6666667
