p.value	m.z	t.score
1.03E-64	206.874961	437.54
1.19E-64	208.8719473	432.47
5.65E-49	210.8687276	253.16
3.53E-47	222.8486453	236.15
1.37E-41	224.8456068	190.67
3.11E-40	282.9111679	180.24
2.47E-38	266.8301722	166.58
2.28E-35	226.8433862	146.94
1.78E-29	264.8338287	112.67
2.34E-29	268.8274942	111.79
4.82E-22	301.839779	76.439
4.94E-22	334.8181557	76.229
7.93E-21	326.7869907	70.931
2.09E-20	282.805041	69.038
3.06E-20	332.8201115	68.23
5.49E-19	280.8067427	63.025
2.03E-18	324.7895134	60.672
9.24E-18	284.8013358	58.015
2.73E-17	328.7826775	56.121
5.91E-17	336.8155605	54.769
7.03E-17	350.7921576	54.406
1.35E-16	344.7566747	53.268
2.70E-16	388.9345507	52.078
5.24E-16	276.8589887	50.949
6.68E-15	340.762092	46.894
1.55E-14	342.7602454	45.536
5.90E-14	268.9306531	43.453
1.27E-12	274.862888	38.862
3.84E-12	394.7549058	37.215
1.64E-09	284.9231027	28.794
4.50E-08	392.7586788	24.411
2.76E-07	241.8840511	22.069
4.46E-07	380.9504047	21.428
5.90E-06	352.8067103	18.213
8.79E-06	88.02123441	17.698
9.04E-06	249.06092	17.63
9.15E-05	415.2002264	14.845
0.00032201	236.9079731	13.35
0.00034827	402.7362398	13.229
0.00042699	206.1002143	12.965
0.00060388	472.9286326	12.539
0.00069493	422.9373378	12.351
0.001043	260.022869	11.86
0.0011584	292.8516768	11.715
0.0012545	174.5591439	11.599
0.0014016	386.9049909	11.436
0.0014016	350.8095361	11.424
0.0017635	262.2521649	11.122
0.0017635	412.9726313	11.113
0.0017635	448.9513244	11.094
0.0020207	320.8686573	10.918
0.0021879	205.0970013	10.807
0.0026707	378.239612	10.55
0.0026707	450.9456202	10.54
0.0027408	286.8976964	10.491
0.003391	141.0060659	10.232
0.0034914	413.9755694	10.165
0.0034914	470.9336204	10.16
0.0039583	348.111408	10.001
0.0039927	250.0637092	9.9723
0.0046156	348.8120646	9.7923
0.0056074	247.2412245	9.5577
0.0058644	494.9118509	9.4901
0.0061329	285.0703006	9.4229
0.0066093	192.1237089	9.3228
0.006684	161.1320667	9.2909
0.006684	392.7588869	9.2766
0.006684	259.0277559	9.2603
0.0071195	276.8781258	9.1743
0.0073091	263.255809	9.1224
0.0073091	410.8550905	9.1136
0.0073536	251.1358581	9.0914
0.0083606	440.7516474	8.9344
0.0098172	384.7629793	8.7423
0.010355	326.1958358	8.6688
0.01037	162.111922	8.6526
0.010608	315.0801138	8.6133
0.011058	503.2444752	8.5423
0.011058	101.0110348	8.5393
0.011118	322.8673012	8.5196
0.011557	252.1306626	8.4633
0.011726	292.7626953	8.434
0.012092	173.5134082	8.3869
0.013017	132.0764316	8.2826
0.013017	353.0344718	8.28
0.013161	413.2874104	8.2551
0.013948	243.0528754	8.1788
0.014547	224.0970962	8.1202
0.015233	264.1591078	8.0574
0.015439	331.0537381	8.0305
0.015476	332.838466	8.0159
0.015931	130.0496715	7.9708
0.015931	501.3134235	7.9504
0.015931	358.7525795	7.9487
0.016175	311.2203343	7.9206
0.016602	439.3633959	7.8807
0.016807	316.0820251	7.8361
0.016807	175.511636	7.8339
0.016807	489.3553041	7.8309
0.016807	212.9992888	7.8201
0.016807	420.6591683	7.8024
0.016807	175.9124873	7.8011
0.016874	442.7231749	7.7862
0.018357	251.6156138	7.6838
0.018431	454.7030533	7.669
0.018795	375.0166393	7.6318
0.018795	240.0945669	7.6271
0.020013	117.0654823	7.5487
0.02083	372.8826604	7.4952
0.02099	302.7453548	7.4769
0.021325	320.9968297	7.4499
0.021571	301.0369096	7.4277
0.021976	234.9812122	7.3978
0.021998	390.9916577	7.3872
0.022405	457.9072603	7.3578
