p.value	m.z	t.score
0.022429	320.0796041	7.3457
0.022429	284.9085146	7.3219
0.022429	316.9863197	7.3202
0.022429	181.0954533	7.3195
0.023555	324.9284135	7.257
0.023555	282.871626	7.2483
0.023623	518.3214835	7.2363
0.024114	401.3442333	7.2028
0.024114	339.2358528	7.1963
0.024399	271.164386	7.163
0.024399	317.0836964	7.1524
0.024399	310.8398191	7.1458
0.024399	336.8342465	7.1457
0.024399	291.2318934	7.1408
0.024991	400.3405201	7.1065
0.025699	448.3050398	7.0679
0.026314	272.1848781	7.0341
0.026407	430.2637265	7.0221
0.026914	188.0704717	6.9856
0.026914	176.9514062	6.9854
0.028375	146.0595893	6.9203
0.028573	338.1696417	6.9049
0.028648	432.9753537	6.8942
0.029208	394.3030587	6.8655
0.029249	140.1431178	6.8562
0.02967	360.1017535	6.8331
0.029798	532.8479719	6.8112
0.029798	333.0519492	6.8071
0.029798	354.0389788	6.8057
0.030173	433.9779293	6.7848
0.030786	187.9592451	6.7557
0.031529	396.9989482	6.7182
0.031529	457.9590988	6.7153
0.03193	421.1681893	6.6944
0.032327	372.2196961	6.6703
0.032327	439.3007657	6.6659
0.032327	395.0009958	6.6484
0.032327	398.0021137	6.6466
0.032327	246.4439111	6.6388
0.032327	175.0328646	6.6324
0.032327	182.0890334	6.6266
0.032327	377.014044	6.617
0.032327	490.9338884	6.6005
0.032327	145.9540693	6.6004
0.032327	365.0871168	6.5977
0.032327	376.9006621	6.595
0.032327	369.0089087	6.5863
0.032327	290.8547081	6.5843
0.032688	150.0133692	6.5658
0.032825	292.9468323	6.5548
0.033486	119.0488677	6.5257
0.033486	242.0338784	6.5184
0.033486	332.0574479	6.5139
0.034533	247.0283493	6.4744
0.035251	508.233701	6.4357
0.035251	262.1640371	6.4354
0.035251	119.0488307	6.4334
0.035303	137.1068313	6.4256
0.036761	560.8722918	6.3759
0.037009	219.9718536	6.3608
0.037009	382.7660059	6.3564
0.037058	251.1278959	6.3489
0.037291	192.8450912	6.3361
0.037833	114.8924299	6.3146
0.039131	173.9156932	6.2724
0.03994	163.1155321	6.2446
0.04057	191.0397472	6.2219
0.041069	468.8130971	6.2029
0.041704	238.8417795	6.1806
0.042227	340.9631271	6.1553
0.042227	338.9452397	6.1503
0.042227	303.0739579	6.1499
0.04306	400.8282602	6.1233
0.043284	394.7934348	6.112
0.043652	151.0473933	6.0973
0.044191	148.0963555	6.0785
0.044483	149.9304632	6.0609
0.044483	270.9575907	6.0603
0.045549	283.0275577	6.0246
0.045549	430.2942187	6.024
0.046371	190.8480076	5.9994
0.046433	413.2665825	5.9925
0.047168	293.0980012	5.9703
0.047171	542.9252101	5.9604
0.047171	470.8100753	5.9594
0.047457	266.0388829	5.9476
0.048182	139.0384973	5.9261
0.049315	284.1848597	5.8953
0.049315	279.0564403	5.8908
0.049633	455.962293	5.8787
0.049895	452.8330547	5.8678
0.049987	481.0886371	5.8607
0.05057	418.9820418	5.8384
0.05057	311.2202893	5.835
0.05057	385.3393138	5.8312
0.05057	435.9797964	5.8279
0.052177	173.0481116	5.784
0.052177	466.7259131	5.784
0.052177	456.6989593	5.7794
0.05218	109.0756999	5.7744
0.052243	138.9796018	5.7681
0.052341	166.0860729	5.7578
0.052341	290.110175	5.7563
0.053013	528.8918132	5.7378
0.05322	380.7690864	5.7288
0.053445	248.976116	5.7195
0.053692	154.0045982	5.7081
0.053692	125.9532137	5.7045
0.053692	514.9139995	5.6984
0.053692	169.0353417	5.6954
0.053744	168.0801643	5.6857
0.053744	147.0759544	5.6829
0.053744	438.2970346	5.6803
0.054306	476.3945462	5.6612
0.054306	506.9719024	5.6577
0.054306	454.9559502	5.6552
0.054837	312.0401749	5.6403
0.055217	272.6653339	5.6255
0.055217	456.8428173	5.6238
0.056091	297.1843772	5.6025
0.056659	105.0440011	5.5856
0.056659	434.9737076	5.5827
0.05916	192.0431863	5.528
0.05916	292.6342888	5.5236
0.05916	295.1009998	5.5234
0.061529	376.0202399	5.4736
0.061529	332.2221259	5.4728
0.061689	249.0578704	5.4656
0.062636	267.2673184	5.4431
0.062636	247.0656296	5.4407
0.064602	166.5273203	5.4035
0.064788	209.1165338	5.3932
0.064788	221.0333045	5.3919
0.065993	495.2240129	5.3623
0.065993	304.741585	5.3564
0.065993	127.9901372	5.3543
0.065993	359.3698646	5.3541
0.065993	295.0297307	5.3499
0.065993	227.200163	5.3469
0.067716	163.9775755	5.3153
0.068694	133.9264887	5.2959
0.071756	298.0515942	5.2455
0.072896	276.1451722	5.2168
0.072896	115.9570434	5.2166
0.072896	285.9123838	5.2165
0.074043	498.8667789	5.1894
0.074043	456.9535235	5.186
0.074043	310.8563857	5.1805
0.074043	336.0527315	5.1803
0.074043	510.3922099	5.1797
0.074317	474.8229536	5.1705
0.074317	323.9308716	5.1655
0.074317	324.2884886	5.1639
0.074841	281.2464957	5.1525
0.074956	112.8954237	5.1469
0.075122	447.9322669	5.1407
0.076285	172.8507793	5.1205
0.077895	259.0042413	5.0945
0.080005	241.0309614	5.0623
0.081555	267.9952091	5.0381
0.08183	507.9091596	5.0302
0.08183	303.1336024	5.0249
0.08183	576.8447552	5.0231
0.081873	468.3684964	5.0187
0.082256	194.0804668	5.01
0.084123	449.3073768	4.9822
0.084123	402.2676815	4.9787
0.084126	240.8389069	4.9749
0.0847	440.8705467	4.964
0.085132	203.2224566	4.9549
0.085185	578.4184434	4.9505
0.086928	472.6722537	4.9237
0.086928	231.1376719	4.9218
0.087473	380.2544502	4.9075
0.087473	241.0423747	4.9058
0.087473	405.2443166	4.9042
0.088169	431.2240763	4.8922
0.090852	105.9808178	4.8532
0.090852	392.7944716	4.8531
0.090852	416.2045592	4.8497
0.090984	429.3657881	4.8446
0.09205	195.9928209	4.8288
0.092247	370.0126768	4.8229
0.092687	210.1198346	4.8144
0.09354	166.9538176	4.8012
0.094111	156.9834556	4.7851
0.094111	169.0082131	4.7845
0.094111	430.9129909	4.784
0.094111	300.1410206	4.7797
0.094111	490.8681329	4.7773
0.095788	390.7989422	4.7552
0.096049	358.7448782	4.7489
0.096104	311.9152474	4.7449
0.09631	299.9116909	4.7392
0.096665	221.9714781	4.7314
0.096665	186.9557346	4.7285
0.097211	438.9113677	4.7192
0.097498	346.7266821	4.7127
0.09762	239.1632026	4.7063
0.09762	343.8707726	4.7046
0.098516	363.9963176	4.6917
0.09907	498.9383593	4.6824
0.099539	255.1238167	4.6741
0.10035	230.117613	4.6622
0.10113	510.0655992	4.6499
0.10113	255.0833733	4.6475
0.10131	268.9616857	4.6408
0.10131	307.0196593	4.6366
0.10131	86.0596265	4.6301
0.10131	249.6119752	4.6264
0.10131	279.230965	4.6261
0.10131	302.2323966	4.6249
0.10131	459.3509136	4.6229
0.1022	130.0317432	4.6104
0.10247	530.8505	4.6045
0.10256	355.1824009	4.5986
0.10256	173.1068048	4.5972
0.10259	326.8048485	4.5922
0.10259	137.0454807	4.5906
0.10301	276.0900095	4.5823
0.10301	127.0150352	4.5799
0.10326	148.0601085	4.5743
0.10354	515.8955145	4.5683
0.10392	425.1476176	4.5614
0.10484	327.8902144	4.5478
0.10484	408.6799592	4.5459
0.10507	482.8918814	4.5405
0.10529	388.8562746	4.5352
0.10542	326.8852264	4.5308
0.10648	474.3268385	4.5164
0.10648	326.225163	4.5142
0.10864	205.1075787	4.49
0.10935	180.9674601	4.4801
0.10936	398.2662624	4.4768
0.10936	366.7852165	4.4719
0.10936	176.0370285	4.4709
0.10936	395.1667628	4.4669
0.10936	109.1007675	4.4618
0.10936	428.946129	4.4617
0.10936	303.0780282	4.4591
0.10962	258.8984044	4.4531
0.10962	339.1610478	4.4507
0.10989	408.3076559	4.4452
0.11118	412.2841387	4.43
0.11155	390.7785092	4.4235
0.11167	379.6982051	4.4196
0.11177	402.8248171	4.4154
0.11177	428.3623931	4.4127
0.11204	459.8125364	4.4073
0.11405	147.5244672	4.3844
0.11405	487.8698151	4.3829
0.11557	567.3215941	4.3661
0.1164	306.1596199	4.3557
0.11643	301.0645414	4.3512
0.11643	396.742031	4.3497
0.11644	216.9220471	4.3441
0.11644	444.3679782	4.344
0.11831	205.125971	4.3245
0.11834	289.2197593	4.3214
0.11976	177.9955397	4.306
0.121	387.1955899	4.2924
0.12127	230.9821034	4.2838
0.12127	408.7673819	4.2832
0.12127	288.6407768	4.2817
0.12155	267.6467296	4.2766
0.12169	120.9682947	4.2726
0.12172	225.1477449	4.2669
0.12172	255.2059252	4.2668
0.12208	544.9287955	4.261
0.12217	144.1017291	4.256
0.12217	356.7557199	4.2491
0.12217	543.8249745	4.2481
0.12217	185.114777	4.243
0.12217	133.049546	4.2414
0.12217	466.3147149	4.2407
0.12217	495.3781216	4.2404
0.12217	138.5485486	4.2386
0.12236	234.9464612	4.2319
0.12236	285.9032654	4.2301
0.12236	415.152352	4.229
0.12308	206.0807166	4.2171
0.12308	168.100717	4.2149
0.12308	382.3169815	4.2149
0.12323	196.9999587	4.2101
0.12323	556.3674508	4.2059
0.12323	430.2430012	4.205
0.12323	150.9765604	4.2021
0.12323	239.0899176	4.2005
0.12339	277.6194718	4.1934
0.12339	325.6694263	4.1932
0.12339	128.9921087	4.1913
0.12361	108.9610943	4.1869
0.12409	237.1476687	4.1803
0.12452	468.7248932	4.174
0.12455	421.9384687	4.1713
0.12474	450.75391	4.1671
0.12506	139.0736091	4.1595
0.12506	489.3021337	4.1577
0.12506	414.3065729	4.1567
0.12506	257.2663072	4.1537
0.12506	89.00799297	4.1511
0.12506	390.8573312	4.1492
0.12513	364.9773005	4.1435
0.12513	89.50634511	4.1414
0.12513	476.2060146	4.1412
0.12541	220.9216507	4.1354
0.12541	350.325788	4.1338
0.1259	230.4775845	4.1272
0.12664	174.0542347	4.1164
0.12664	209.0913488	4.1124
0.12664	335.1934872	4.111
0.12664	134.0711589	4.1104
0.12664	286.9317007	4.1087
0.12745	398.9217664	4.0996
0.12841	132.1016661	4.0894
0.12878	223.0961298	4.0837
0.12878	483.5862829	4.0814
0.12925	324.0013767	4.0752
0.12971	198.1271347	4.0681
0.12971	536.8016888	4.0667
0.12992	238.9535427	4.0623
0.12992	397.2621515	4.0602
0.13153	248.0954009	4.0387
0.13153	334.8366758	4.0347
0.13153	226.0938439	4.0325
0.13153	242.0595504	4.0311
0.13153	265.0228428	4.0302
0.13153	106.0858443	4.0297
0.13153	451.9532005	4.0259
0.13153	306.2059229	4.0217
0.13153	387.3568552	4.0207
0.13153	126.0216444	4.0203
0.13153	299.0787655	4.0202
0.13153	281.157307	4.0189
0.13164	268.9234681	4.0157
0.13231	108.9505442	4.0059
0.13231	311.2056358	4.0058
0.13334	217.1190443	3.9954
0.13395	513.17013	3.9883
0.13401	248.9585703	3.9855
0.13576	478.8517199	3.9665
0.13576	190.9567815	3.966
0.13576	321.9332917	3.963
0.13576	160.5502142	3.9625
0.13576	101.078623	3.9605
0.13609	291.1116553	3.9557
0.13653	232.1540409	3.9501
0.13675	259.1507806	3.9412
0.13675	98.99421236	3.9411
0.13675	550.3864044	3.9406
0.13675	275.1456775	3.9393
0.13689	336.1278717	3.936
0.13716	423.0457699	3.931
0.13716	268.8458151	3.9295
0.13821	122.9241651	3.9193
0.13851	531.8501466	3.9148
0.13929	426.8988748	3.9067
0.14107	523.8587301	3.8883
0.14107	356.9085359	3.8879
0.14107	233.077937	3.8852
0.14107	255.2313126	3.8835
0.14107	418.7973932	3.8824
0.1416	244.7860724	3.8763
0.14314	545.3375799	3.8628
0.14334	406.7730325	3.8592
0.1437	558.8550908	3.8544
0.14467	334.9154033	3.8452
0.14473	228.8123121	3.8426
0.14473	396.8853959	3.8404
0.14552	127.0749611	3.8326
0.14581	472.2919542	3.8269
0.14581	213.8996693	3.8262
0.14609	213.6177592	3.8221
0.1462	514.2744314	3.8188
0.1462	195.5742181	3.8166
0.1462	462.3038446	3.8149
0.1466	460.7827174	3.8079
0.1466	227.9461126	3.8078
0.14704	302.926566	3.8026
0.14803	299.1824772	3.7924
0.14803	190.911905	3.7913
0.14892	126.0408417	3.7829
0.149	506.5322443	3.7803
0.14993	513.7988373	3.7706
0.14993	372.9234741	3.7697
0.15038	100.0626862	3.7644
0.15052	315.2518284	3.7614
0.15071	348.723464	3.756
0.15071	382.2543658	3.755
0.15071	259.1701012	3.7538
0.15122	620.4362669	3.7481
0.15122	105.1035842	3.7461
0.15155	264.2680189	3.7418
0.15208	444.9738429	3.7343
0.15208	295.1434582	3.7323
0.15208	208.1769089	3.732
0.1531	328.0108205	3.723
0.15406	282.6236472	3.7134
0.15406	176.0703656	3.7118
0.15406	246.1107538	3.7089
0.15406	388.25388	3.7084
0.15407	257.0737158	3.7058
0.15407	260.1533958	3.7043
0.15413	298.635728	3.7019
0.15426	283.6570341	3.6966
0.15426	124.5035689	3.6961
0.15426	266.9272635	3.6949
0.15426	276.1796706	3.693
0.15442	358.8424597	3.6899
0.15484	267.0421043	3.6851
0.15494	147.9307839	3.6824
0.15522	324.8072077	3.6786
0.15652	414.3002102	3.6679
0.15769	264.1316966	3.6582
0.15792	524.997731	3.6505
0.15792	484.0567563	3.6492
0.15792	290.609332	3.6465
0.15792	93.0442914	3.6455
0.15792	194.0508678	3.645
0.15792	306.4451882	3.6449
0.15977	261.0448515	3.6308
0.15985	359.2434794	3.6263
0.15985	428.3220071	3.6244
0.15985	217.1044009	3.6214
0.15985	273.9543248	3.621
0.15985	228.1947558	3.6206
0.16005	284.0833225	3.6165
0.16005	399.0303683	3.6155
0.1603	106.5598255	3.6119
0.16047	505.7792603	3.6089
0.1606	220.1772664	3.6045
0.1606	384.9723346	3.6042
0.161	435.2549239	3.5997
0.16129	330.9126722	3.5924
0.16129	320.0817574	3.5905
0.16129	498.9004618	3.5877
0.16129	185.0227478	3.5832
0.16129	387.3280504	3.5821
0.16129	325.0262938	3.5811
0.16129	130.9577554	3.578
0.16129	138.5185436	3.5749
0.16129	423.2697658	3.5742
0.16129	303.1408934	3.574
0.16129	280.1535808	3.5738
0.16129	311.2053384	3.5735
0.16129	345.2309478	3.5718
0.16129	192.975783	3.5716
0.16137	416.8000103	3.5692
0.16156	99.00917849	3.5661
0.16159	442.7689361	3.5641
0.16287	271.1878696	3.5524
0.16287	290.0744941	3.5522
0.16323	352.8968459	3.5453
0.16323	469.8465502	3.545
0.16323	96.92149392	3.5444
0.16356	382.2791998	3.5405
0.16379	131.1619636	3.536
0.16379	521.0880632	3.5344
0.16379	346.2219541	3.5323
0.16379	426.3561832	3.5318
0.16405	472.3501336	3.5283
0.16411	357.9144712	3.5237
0.16411	137.0519507	3.5236
0.16411	265.6520212	3.5225
0.16459	207.0437685	3.5177
0.16588	160.1803135	3.5065
0.16588	253.2157159	3.506
0.16663	248.097116	3.4995
0.16683	488.3017036	3.4932
0.16683	328.618299	3.4931
0.16683	88.50877783	3.4929
0.16724	243.9283431	3.4886
0.16872	459.8572465	3.4776
0.16878	359.2614896	3.4751
0.16878	337.1662835	3.4728
0.16878	466.010474	3.472
0.16954	430.0871555	3.4655
0.17003	401.3411952	3.4608
0.17175	339.1397777	3.4486
0.17182	431.915191	3.4464
0.17417	506.3599855	3.4301
0.17417	306.9566651	3.4263
0.17417	365.3148518	3.426
0.17417	170.8537487	3.4253
0.17525	191.1635178	3.4171
0.17581	242.8358944	3.41
0.17581	288.2169241	3.4097
0.17581	366.9126529	3.4086
0.17601	146.5348625	3.4057
0.17712	508.8576929	3.3975
0.17741	361.8431619	3.3941
0.17851	506.3578329	3.3856
0.17851	426.9488712	3.3831
0.17851	383.9657302	3.3825
0.17873	263.2364318	3.3795
0.179	492.309558	3.3762
0.179	333.2980352	3.3745
0.17981	248.156531	3.3681
0.18035	164.9811164	3.3619
0.18035	292.8725061	3.3614
0.18035	496.7265095	3.36
0.18077	116.070361	3.3558
0.18139	584.260082	3.3491
0.18139	257.1618481	3.348
0.18139	111.0745469	3.3463
0.18139	466.6382975	3.3456
0.18223	202.0659184	3.3391
0.18361	421.1095183	3.3296
0.18464	522.8995904	3.3181
0.18464	302.9684061	3.318
0.18464	447.0987979	3.3175
0.18464	319.1644992	3.3171
0.18522	200.2368526	3.3097
0.18522	391.6995844	3.309
0.18522	377.911935	3.3089
0.18587	383.2531578	3.3036
0.1862	536.2804354	3.3002
0.18629	367.9905475	3.298
0.18646	230.8099491	3.2918
0.18646	425.2141851	3.2896
0.18646	139.9629169	3.2883
0.18646	263.1317239	3.2839
0.18646	252.1438698	3.2834
0.18646	259.0660605	3.2822
0.18646	289.1250071	3.2804
0.18646	207.0139883	3.2789
0.18646	302.1015024	3.2759
0.18646	492.4003738	3.2747
0.18646	431.3154586	3.2744
0.18646	397.3098091	3.2717
0.18646	437.9609131	3.2712
0.18646	260.6388428	3.2703
0.18646	421.2400634	3.2702
0.18646	451.0143763	3.2688
0.18646	211.1448164	3.2687
0.18646	291.6459291	3.268
0.18674	466.3299348	3.2648
0.18765	611.1805906	3.2573
0.18765	248.8701745	3.2566
0.18804	532.8433244	3.2529
0.18897	265.2518456	3.2461
0.18965	522.601528	3.2402
0.18965	429.2390855	3.2393
0.19005	235.1318457	3.2355
0.19065	473.7418768	3.2303
0.19065	232.9851347	3.2291
0.19119	351.1772683	3.2232
0.19119	361.1343885	3.223
0.19141	488.2976265	3.22
0.19141	400.2112654	3.2186
0.19141	383.2702676	3.2171
0.19191	583.3646336	3.2108
0.19191	148.0036209	3.2092
0.19191	167.9981184	3.2056
0.19191	260.8966737	3.2043
0.19191	431.9830333	3.2031
0.19191	525.9945579	3.2013
0.19191	327.0460713	3.2002
0.19191	371.2295589	3.1989
0.19191	400.7373094	3.1984
0.19191	500.6101304	3.1975
0.19191	333.1506886	3.1974
0.19191	378.220156	3.1959
0.1928	177.9570357	3.1895
0.1928	226.0421131	3.1881
0.19306	214.0150196	3.1851
0.19349	145.0841421	3.1802
0.19349	298.2733348	3.1798
0.19482	139.0749751	3.1711
0.19492	265.1497444	3.1691
0.19551	538.5730349	3.1645
0.19556	252.6351384	3.1627
0.1968	500.0308158	3.1546
0.19744	502.0862086	3.1476
0.19744	506.037237	3.1458
0.19744	412.7179513	3.1444
0.19744	145.1051813	3.1439
0.19744	202.9501535	3.1419
0.19744	469.7965279	3.1416
0.19744	392.232066	3.1408
0.19757	107.0725003	3.138
0.19757	464.8722181	3.1371
0.19759	143.1062973	3.1355
0.19769	534.3196476	3.1335
0.19802	200.8763776	3.1303
0.19831	464.9252439	3.1273
0.19862	546.9869937	3.1242
0.1999	303.1403121	3.1161
0.20006	331.2830086	3.1132
0.20006	282.1825889	3.1118
0.20006	351.2135195	3.1108
0.20075	216.0144045	3.1058
0.20113	173.9811059	3.1019
0.20113	196.8778179	3.0993
0.20113	232.4464491	3.0983
0.20113	184.9850283	3.0958
0.20113	128.025318	3.093
0.20113	443.3538951	3.0917
0.20113	346.2035833	3.0903
0.20113	322.8102945	3.09
0.20113	154.9899663	3.0896
0.20113	202.8735074	3.0893
0.20172	288.0542945	3.0848
0.20211	132.9295385	3.0803
0.20211	239.613733	3.0783
0.20211	522.2856796	3.0781
0.20211	138.0269597	3.0771
0.20218	379.90362	3.075
0.20218	541.2512966	3.0736
0.20218	249.1475337	3.0724
0.20333	463.3346791	3.0635
0.20333	248.9985569	3.0615
0.20333	223.0536294	3.0611
0.20333	169.0579849	3.0608
0.20343	272.2575005	3.0589
0.20368	249.9389146	3.0562
0.20418	212.1178654	3.0522
0.20451	207.9849309	3.0483
0.20451	238.2239105	3.0474
0.20451	229.2349583	3.0449
0.20451	512.3321865	3.0437
0.20451	566.3221757	3.0435
0.20608	333.2453056	3.0342
0.20861	499.9040928	3.0202
0.20915	142.9382632	3.0161
0.21054	252.8657687	3.0077
0.21054	336.4468291	3.0054
0.21054	213.0227715	3.0051
0.21072	462.0748204	3.0028
0.21115	407.2041136	2.9993
0.21118	210.505559	2.9977
0.21183	176.1026152	2.9931
0.21183	175.1111227	2.9918
0.21371	404.8209402	2.9806
0.21371	264.0166949	2.9799
0.21436	434.2068946	2.9754
0.21468	451.231604	2.9718
0.21468	207.6183338	2.9704
0.21468	129.9520388	2.9697
0.21574	247.057599	2.9632
0.21591	401.2866874	2.961
0.21602	385.2738278	2.9592
0.2161	383.9259328	2.9549
0.2161	237.1687259	2.954
0.2161	443.996569	2.9538
0.2161	138.0908869	2.9527
0.2161	290.7647632	2.952
0.21625	314.2322979	2.9499
0.21625	269.2660762	2.9485
0.21651	438.8557817	2.9441
0.21651	157.0850369	2.9439
0.21651	240.0149665	2.9432
0.21676	509.8610829	2.9407
0.21834	139.5091641	2.9309
0.21834	92.03956824	2.9305
0.21853	285.9872939	2.9282
0.21911	436.0107554	2.9231
0.21911	345.1872113	2.9228
0.2192	429.0872436	2.9211
0.21924	314.2681702	2.9135
0.21924	125.9860379	2.9133
0.21924	389.9217671	2.9118
0.21924	214.0113219	2.9098
0.21924	205.1221421	2.9091
0.21924	403.3413562	2.9089
0.21924	97.96837688	2.9086
0.21924	467.3208269	2.9083
0.21924	338.7837166	2.908
0.21924	524.3710482	2.9055
0.21924	95.9527295	2.902
0.21924	148.1097872	2.9017
0.21924	402.7703692	2.9013
0.21924	257.6153352	2.9012
0.21924	502.3711454	2.9011
0.21939	284.0021312	2.899
0.21939	280.6076313	2.8967
0.21939	455.9144714	2.8964
0.21961	554.2955779	2.8941
0.21966	225.1630998	2.8925
0.22047	114.0658899	2.8863
0.22047	224.1274753	2.8861
0.22062	250.9728745	2.8841
0.22121	270.9768887	2.8801
0.22164	237.0200735	2.8768
0.22302	258.1094449	2.8691
0.22318	397.214177	2.8671
0.22407	213.1468823	2.8609
0.22407	275.0007255	2.8604
0.22497	388.7751306	2.8549
0.22547	377.2134202	2.8506
0.22547	299.0042273	2.849
0.22547	371.0816481	2.8482
0.22547	112.0864504	2.8475
0.22547	517.2485753	2.8448
0.22547	298.6454691	2.843
0.22547	508.1990684	2.8427
0.22547	329.2675284	2.8424
0.22551	283.6046921	2.841
0.22598	229.1405728	2.8364
0.22598	194.0220094	2.8363
0.22621	113.9857052	2.8333
0.22621	124.5511933	2.8306
0.22621	513.3414812	2.83
0.22621	513.7680346	2.8285
0.22621	551.309679	2.8271
0.22621	103.0941878	2.825
0.22621	257.1353849	2.8242
0.22621	464.641283	2.8237
0.22621	361.2716126	2.823
0.22621	538.8754136	2.8218
0.22621	282.9040781	2.8214
0.22707	422.6565874	2.8143
0.22707	140.0680635	2.8136
0.22707	526.2909662	2.8134
0.22707	414.1407249	2.8125
0.22732	344.73007	2.8087
0.22732	245.07808	2.8086
0.22732	330.2268398	2.8076
0.22732	362.7003356	2.8054
0.22732	263.0093914	2.8051
0.2277	440.9055263	2.8021
0.2277	472.3035892	2.8009
0.22815	353.9462356	2.7977
0.22935	243.0156747	2.7879
0.22935	245.1527196	2.7874
0.22935	462.1986976	2.7873
0.22935	106.0495765	2.7873
0.2296	200.0926207	2.785
0.22993	508.3332893	2.782
0.22993	331.0036721	2.7806
0.22993	123.0911972	2.779
0.22993	94.50183021	2.7786
0.23031	401.9159998	2.7757
0.23055	460.6482016	2.7711
0.23055	333.3346135	2.7709
0.23055	327.1579089	2.7706
0.23055	189.0726722	2.7698
0.23086	427.7558172	2.7667
0.23086	416.7113253	2.7648
0.23086	290.2551292	2.7642
0.23086	341.9321211	2.7635
0.23096	369.1240069	2.7618
0.23096	462.705987	2.7606
0.23101	231.0991007	2.7592
0.23241	502.409439	2.7518
0.2325	335.2781918	2.7502
0.23252	214.8355269	2.747
0.23252	227.5838542	2.7467
0.23252	394.7018953	2.7461
0.23252	124.9225486	2.7442
0.23252	113.1070142	2.743
0.23252	169.1582789	2.7429
0.23324	165.1269687	2.7385
0.23387	302.0181898	2.7346
0.23429	181.9769879	2.731
0.23429	161.0182252	2.7304
0.23472	402.2845099	2.726
0.23472	149.9878965	2.7257
0.23472	197.9661202	2.7249
0.23475	404.3355752	2.7236
0.23552	316.2477115	2.719
0.23593	225.9110464	2.7157
0.23593	431.3357914	2.7148
0.23593	311.0801648	2.7129
0.23593	432.3088989	2.7125
